date,score,model_id,rank,date_dt,days
2024-10-22,0.046,claude-3-5-sonnet-20241022,1,2024-10-22,0
2024-11-20,0.0,gpt-4o-2024-11-20,2,2024-11-20,29
2025-01-31,0.013,o3-mini-2025-01-31_high,2,2025-01-31,101
2025-02-24,0.038,claude-3-7-sonnet-20250219,2,2025-02-24,125
2025-04-16,0.088,o3-2025-04-16_high,1,2025-04-16,176
2025-05-22,0.069,claude-opus-4-20250514,2,2025-05-22,212
2025-05-22,0.049,claude-sonnet-4-20250514,3,2025-05-22,212
2025-08-07,0.069,gpt-5-2025-08-07_high,3,2025-08-07,289
2025-09-29,0.147,claude-sonnet-4-5-20250929,1,2025-09-29,342
2025-11-13,0.137,gpt-5.1-2025-11-13_high,2,2025-11-13,387
2025-11-18,0.186,gemini-3-pro-preview,1,2025-11-18,392
2025-11-24,0.265,claude-opus-4-5-20251101,1,2025-11-24,398
2025-12-11,0.274,gpt-5.2-2025-12-11_high,1,2025-12-11,415
